GL_Account,GL_Account_Name,CompanyCode,CompanyCodeName,Profit_Center,Profit_Center_Desc,Cost_Center,Cost_Center_Desc,Functional_Area,Func_Area_Desc,Period/Year,Amount,Average,Minimum,Maximum,StdDev,ConfLow,ConfHigh,ID,Item,Reversal,Segment,Cost_Type 
420200,Non-Saleable Returns,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2022008,-97596.09,139197.53,-152031.38,1313803.48,309108.2304321592,20380.1484761538,258014.90552384622,418,Non-saleable Returns(Sale Val),0,MW,
420200,Non-Saleable Returns,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2022008,50121.72,127921.64,-152031.38,1313803.48,305680.4886964659,10421.843456607603,245421.4374953924,418,Non-saleable Returns(Sale Val),0,MW,
420200,Non-Saleable Returns,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2022008,14201.25,124385.28,-152031.38,1313803.48,298774.3950981717,9540.100350991634,239230.46055900835,418,Non-saleable Returns(Sale Val),0,MW,
420200,Non-Saleable Returns,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2022008,31852.35,119594.67,-152031.38,1313803.48,292807.84843700216,7042.95703075963,232146.38383924038,418,Non-saleable Returns(Sale Val),0,MW,
420200,Non-Saleable Returns,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2022008,8251.24,115938.74,-152031.38,1313803.48,286931.25440492935,5645.917035078237,226231.56379892176,418,Non-saleable Returns(Sale Val),0,MW,
420200,Non-Saleable Returns,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2022008,38371.23,111631.24,-152031.38,1313803.48,281714.41384161805,3343.7059715393407,219918.77482846065,418,Non-saleable Returns(Sale Val),0,MW,
420200,Non-Saleable Returns,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2022008,18827.41,108813.55,-152031.38,1313803.48,276396.30012818717,2570.2303626380744,215056.8650213619,418,Non-saleable Returns(Sale Val),0,MW,
420200,Non-Saleable Returns,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2022008,13560.90,108431.92,-152031.38,1313803.48,276518.09149845113,2141.7871900925675,214722.05203990743,418,Non-saleable Returns(Sale Val),0,MW,
420201,Listing Fees,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2021002,56744.08,null,null,null,null,null,null,408,Listing Fees,0,MW,
420201,Listing Fees,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2021002,-134109.10,56744.08,56744.08,56744.08,null,null,null,408,Listing Fees,0,MW,
420201,Listing Fees,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2021002,25196.32,-38682.51,-134109.10,56744.08,134953.57778901677,-90556.9952341424,13191.975234142395,408,Listing Fees,0,MW,
420201,Listing Fees,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2021002,355940.07,-17389.57,-134109.10,56744.08,102305.43673929422,-56714.51050659135,21935.377172591354,408,Listing Fees,0,MW,
420201,Listing Fees,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2021002,68886.03,75942.84,-134109.10,355940.07,204502.70412481466,-2665.466218201793,154551.1512182018,408,Listing Fees,0,MW,
420201,Listing Fees,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2021002,45506.25,74531.48,-134109.10,355940.07,177132.65287999032,6443.880272389433,142619.07972761057,408,Listing Fees,0,MW,
420201,Listing Fees,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2021002,21000.00,69693.94,-134109.10,355940.07,158874.76840518552,8624.446787825851,130763.43654617417,408,Listing Fees,0,MW,
420201,Listing Fees,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2021002,22500.00,62737.66,-134109.10,355940.07,146195.26415553398,6542.013929889137,118933.31464211087,408,Listing Fees,0,MW,
420201,Listing Fees,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2021002,49101.09,57707.96,-134109.10,355940.07,136096.08868779428,5394.303965087463,110021.60853491255,408,Listing Fees,0,MW,
420201,Listing Fees,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2021002,40579.90,56751.64,-134109.10,355940.07,127338.55697228665,7804.272308942498,105699.0032470575,408,Listing Fees,0,MW,
